City,District,OBJECTID,REPORTYEAR,REPORTDATE,ADDRESS,ReportNumber,PropertyStatus,PropValue,Serial,Disposition,CallNumber,x,y
BOULDER,District 1,5086,2020,2020-08-26,8XX MAXWELL,2008083,STOLEN,2500,No,RB-Report,BPD200826-065044,3060102.30340864,1250897.98601919
BOULDER,District 1,5087,2020,2020-08-26,8XX MAXWELL,2008083,STOLEN,2500,No,RB-Report,BPD200826-065044,3060102.30340864,1250897.98601919
BOULDER,District 1,5088,2020,2020-08-26,38XX NORTHBROOK,2075514,STOLEN,4000,No,Online Report - No Call Disposition,Online Report - No Call Number,3067008.61408403,1259483.78613519
BOULDER,District 4,5089,2020,2020-08-26,9XX 28TH,2075533,STOLEN,450,No,Online Report - No Call Disposition,Online Report - No Call Number,3067940.61443137,1244490.41306468
BOULDER,District 3,5090,2020,2020-08-27,23XX SPRUCE,2075507,STOLEN,1250,No,Online Report - No Call Disposition,Online Report - No Call Number,3065857.61441164,1250816.78724046
BOULDER,District 3,5091,2020,2020-08-27,26XX TAFT,2075505,STOLEN,300,No,Online Report - No Call Disposition,Online Report - No Call Number,3067281.53437904,1246878.71268595
BOULDER,District 3M,5092,2020,2020-08-27,19XX 15TH,2075503,STOLEN,600,Yes,Online Report - No Call Disposition,Online Report - No Call Number,3062606.86534655,1249447.41226388
BOULDER,District 3,5093,2020,2020-08-27,21XX S WALNUT ST,2075516,STOLEN,250,No,Online Report - No Call Disposition,Online Report - No Call Number,3065321.17576113,1249908.09276679
BOULDER,District 3M,5094,2020,2020-08-27,VALID ADDRESS UNAVAILABLE,2075517,STOLEN,1200,Yes,Online Report - No Call Disposition,Online Report - No Call Number
BOULDER,District 2,5095,2020,2020-08-27,28XX KALMIA,2075498,STOLEN,150,No,Online Report - No Call Disposition,Online Report - No Call Number,3068405.96811009,1256791.89053581
BOULDER,District 4,5096,2020,2020-08-27,9XX 28TH,2075499,STOLEN,250,No,Online Report - No Call Disposition,Online Report - No Call Number,3067940.61443137,1244490.41306468
BOULDER,District 4,5097,2020,2020-08-27,29XX SHADOW CREEK,2075557,STOLEN,600,Yes,Online Report - No Call Disposition,Online Report - No Call Number,3068625.69436484,1246514.77467105
BOULDER,District 5,5098,2020,2020-08-28,35XX LONGWOOD,2075561,STOLEN,2200,No,Online Report - No Call Disposition,Online Report - No Call Number,3069751.36452811,1231493.79005408
BOULDER,District 5,5099,2020,2020-08-28,35XX LONGWOOD,2075561,STOLEN,2000,No,Online Report - No Call Disposition,Online Report - No Call Number,3069751.36452811,1231493.79005408
BOULDER,District 4,5100,2020,2020-08-28,29XX COLLEGE,2075538,STOLEN,400,No,Online Report - No Call Disposition,Online Report - No Call Number,3068458.36442287,1245444.28788976
BOULDER,District 3,5101,2020,2020-08-28,18XX 26TH,2075520,STOLEN,900,No,Online Report - No Call Disposition,Online Report - No Call Number,3066898.36452825,1249767.41225662
BOULDER,District 2,5102,2020,2020-08-28,VALID ADDRESS UNAVAILABLE,2008135,STOLEN,500,No,RB-Report,BPD200828-065549,3074284.90454431,1248299.10959163
BOULDER,District 2,5103,2020,2020-08-28,33XX PALO PKWY,2075523,STOLEN,2200,Yes,Online Report - No Call Disposition,Online Report - No Call Number,3070205.72892415,1258919.40002047
BOULDER,District 4,5104,2020,2020-08-28,29XX BASELINE,2075529,STOLEN,3000,No,Online Report - No Call Disposition,Online Report - No Call Number,3068752.08460728,1243463.66330008
UNINCORPORATED,District 1,5105,2020,2020-08-28,46XX BROADWAY,2075531,STOLEN,500,Yes,Online Report - No Call Disposition,Online Report - No Call Number,3060400.61487637,1264579.66035239
BOULDER,District 4,5106,2020,2020-08-28,29XX BASELINE,2075548,STOLEN,3300,Yes,Online Report - No Call Disposition,Online Report - No Call Number,3068555.16874973,1242580.57716224
BOULDER,District 5,5107,2020,2020-08-28,36XX TABLE MESA DR,2075543,STOLEN,500,No,Online Report - No Call Disposition,Online Report - No Call Number,3069500.10759146,1237263.38433061
BOULDER,District 5,5108,2020,2020-08-28,36XX TABLE MESA DR,2075543,STOLEN,500,No,Online Report - No Call Disposition,Online Report - No Call Number,3069500.10759146,1237263.38433061
BOULDER,District 4,5109,2020,2020-08-28,49XX THUNDERBIRD DR,2008145,RECOVERED,3000,No,RB-Report,BPD200828-065635,3075011.13648878,1241293.56022903
BOULDER,District 4,5110,2020,2020-08-28,13XX 28TH,2075544,STOLEN,8000,Yes,Online Report - No Call Disposition,Online Report - No Call Number,3067039.81870441,1247325.18298121
BOULDER,District 3C,5111,2020,2020-08-28,19XX GOSS,2075546,STOLEN,400,No,Online Report - No Call Disposition,Online Report - No Call Number,3064524.3646322,1248766.78756683
BOULDER,District 1,5112,2020,2020-08-28,30XX FOLSOM,2075588,STOLEN,500,No,Online Report - No Call Disposition,Online Report - No Call Number,3066464.11445985,1254041.41176041
BOULDER,District 4,5113,2020,2020-08-28,41XX ARAPAHOE AVE,2075551,STOLEN,450,No,Online Report - No Call Disposition,Online Report - No Call Number,3071861.09742844,1248304.77504359
BOULDER,District 5,5114,2020,2020-08-28,12XX BEAR MOUNTAIN,2075547,STOLEN,7000,No,Online Report - No Call Disposition,Online Report - No Call Number,3066321.86055748,1234705.3475467
BOULDER,District 4,5115,2020,2020-08-29,49XX MEREDITH,2075555,STOLEN,400,No,Online Report - No Call Disposition,Online Report - No Call Number,3074768.73886893,1247871.33532538
BOULDER,District 5,5116,2020,2020-08-29,36XX TABLE MESA,2075549,RECOVERED,550,No,Online Report - No Call Disposition,Online Report - No Call Number,3069676.7871907,1236909.79718399
BOULDER,District 4,5117,2020,2020-08-29,29XX SHADOW CREEK,2075553,STOLEN,500,Yes,Online Report - No Call Disposition,Online Report - No Call Number,3068725.34168788,1246404.31039894
BOULDER,District 4,5118,2020,2020-08-29,5XX MOHAWK,2008192,STOLEN,400,Yes,RB-Report,BPD200829-065907,3073972.04335495,1241807.1554242
BOULDER,District 3,5119,2020,2020-08-29,21XX SPRUCE,2008194,STOLEN,3000,Yes,UB-UTL/GOA,BPD200829-065918,3065058.36491108,1250657.16234154
BOULDER,District 3,5120,2020,2020-08-29,26XX SPRUCE,2008208,STOLEN,1800,Yes,AB-Arrest,BPD200829-066027,3066918.86445909,1251389.03697081
BOULDER,District 3M,5121,2020,2020-08-30,11XX PEARL,2075559,STOLEN,2600,No,Online Report - No Call Disposition,Online Report - No Call Number,3061546.86528627,1249309.16242471
BOULDER,District 4,5122,2020,2020-08-30,29XX AURORA,2075581,STOLEN,745,No,Online Report - No Call Disposition,Online Report - No Call Number,3068845.78539266,1244134.78530936
BOULDER,District 1,5123,2020,2020-08-30,18XX MARY,2075594,STOLEN,750,No,Online Report - No Call Disposition,Online Report - No Call Number,3063147.10385979,1264699.26449713
BOULDER,District 1,5124,2020,2020-08-31,44XX 9TH ST,2008276,STOLEN,6900,Yes,RB-Report,BPD200831-066519,3060042.66464878,1263440.77159656
BOULDER,District 3,5125,2020,2020-08-31,18XX FOLSOM,2075568,STOLEN,200,Yes,Online Report - No Call Disposition,Online Report - No Call Number,3066419.39970009,1249958.89423694
BOULDER,District 4,5126,2020,2020-08-31,29XX AURORA,2075572,STOLEN,1400,Yes,Online Report - No Call Disposition,Online Report - No Call Number,3068788.6144106,1244503.66336849
BOULDER,District 2,5127,2020,2020-08-31,47XX ARAPAHOE AVE,2008298,STOLEN,5000,Yes,MB-Message Left/Sent,BPD200831-066635,3074080.04484198,1248370.46774898
BOULDER,District 1,5128,2020,2020-08-31,27XX MAPLETON,2008293,STOLEN,150,No,RB-Report,BPD200831-066639,3067349.19357014,1252229.57606325
BOULDER,District 4,5129,2020,2020-08-31,33XX BASELINE RD,2075616,STOLEN,1000,No,Online Report - No Call Disposition,Online Report - No Call Number,3069973.72891678,1242905.50342749
BOULDER,District 3C,5130,2020,2020-09-01,14XX BROADWAY,2075586,STOLEN,800,No,Online Report - No Call Disposition,Online Report - No Call Number,3062302.3691458,1246915.77739709
BOULDER,District 4,5131,2020,2020-09-02,29XX AURORA,2075612,STOLEN,125,No,Online Report - No Call Disposition,Online Report - No Call Number,3068788.6144106,1244503.66336849
BOULDER,District 3C,5132,2020,2020-09-02,23XX GOSS,2075606,STOLEN,672,Yes,Online Report - No Call Disposition,Online Report - No Call Number,3066018.614561,1248965.53775254
BOULDER,District 3,5133,2020,2020-09-02,20XX WALNUT,2075607,STOLEN,500,No,Online Report - No Call Disposition,Online Report - No Call Number,3064804.86483742,1250029.53720168
BOULDER,District 3C,5134,2020,2020-09-02,12XX COLLEGE,2075608,STOLEN,450,No,Online Report - No Call Disposition,Online Report - No Call Number,3062404.28233686,1245401.6392065
BOULDER,District 3,5135,2020,2020-09-02,VALID ADDRESS UNAVAILABLE,2075618,STOLEN,4000,No,Online Report - No Call Disposition,Online Report - No Call Number
BOULDER,District 3,5136,2020,2020-09-02,8XX 28TH ST,2075610,RECOVERED,485,Yes,Online Report - No Call Disposition,Online Report - No Call Number,3067659.78025864,1243914.66316638
BOULDER,District 4,5137,2020,2020-09-02,29XX BASELINE,2075619,STOLEN,140,Yes,Online Report - No Call Disposition,Online Report - No Call Number,3068752.08460728,1243463.66330008
BOULDER,District 1,5138,2020,2020-09-03,18XX MARY,2075628,STOLEN,5000,No,Online Report - No Call Disposition,Online Report - No Call Number,3063147.10385979,1264699.26449713
BOULDER,District 3,5139,2020,2020-09-03,27XX TAFT,2075638,STOLEN,1000,Yes,Online Report - No Call Disposition,Online Report - No Call Number,3067319.46965649,1246859.70848772
BOULDER,District 4,5140,2020,2020-09-03,VALID ADDRESS UNAVAILABLE,2075642,STOLEN,4200,Yes,Online Report - No Call Disposition,Online Report - No Call Number
BOULDER,District 3C,5141,2020,2020-09-03,16XX 16TH,2075643,STOLEN,2100,Yes,Online Report - No Call Disposition,Online Report - No Call Number,3063340.36509238,1248635.41219566
BOULDER,District 2,5142,2020,2020-09-04,18XX 30TH,2075648,STOLEN,1200,No,Online Report - No Call Disposition,Online Report - No Call Number,3069454.56190755,1249846.41361964
BOULDER,District 4,5143,2020,2020-09-04,13XX 28TH,2075649,STOLEN,1000,Yes,Online Report - No Call Disposition,Online Report - No Call Number,3067039.81870441,1247325.18298121
BOULDER,District 4,5144,2020,2020-09-04,28XX AURORA,2075652,STOLEN,2500,No,Online Report - No Call Disposition,Online Report - No Call Number,3068197.29865813,1244206.34598504
BOULDER,District 4,5145,2020,2020-09-04,29XX BASELINE,2075675,STOLEN,4500,Yes,Online Report - No Call Disposition,Online Report - No Call Number,3068555.16874973,1242580.57716224
BOULDER,District 3C,5146,2020,2020-09-04,8XX 11TH,2075655,STOLEN,1480,No,Online Report - No Call Disposition,Online Report - No Call Number,3062107.11556134,1244125.16283781
BOULDER,District 4,5147,2020,2020-09-06,13XX 28TH,2075659,STOLEN,7200,No,Online Report - No Call Disposition,Online Report - No Call Number,3067039.81870441,1247325.18298121
BOULDER,District 3,5148,2020,2020-09-06,8XX PEARL,2075660,STOLEN,8293,Yes,Online Report - No Call Disposition,Online Report - No Call Number,3060463.86512172,1249242.16252989
BOULDER,District 3,5149,2020,2020-09-06,21XX SPRUCE,2075665,STOLEN,1038.95,No,Online Report - No Call Disposition,Online Report - No Call Number,3065062.96519549,1250888.43783699
BOULDER,District 4,5150,2020,2020-09-06,29XX AURORA,2075667,STOLEN,500,No,Online Report - No Call Disposition,Online Report - No Call Number,3068579.36432847,1244493.03810631
BOULDER,District 1,5151,2020,2020-09-07,9XX PORTLAND,2075671,STOLEN,499,No,Online Report - No Call Disposition,Online Report - No Call Number,3060120.25344155,1251511.89598715
BOULDER,District 2,5152,2020,2020-09-07,28XX KALMIA,2075672,STOLEN,1100,Yes,Online Report - No Call Disposition,Online Report - No Call Number,3068100.86426968,1257065.16126361
BOULDER,District 3C,5153,2020,2020-09-07,19XX ARAPAHOE,2075673,STOLEN,1000,No,Online Report - No Call Disposition,Online Report - No Call Number,3064644.11497856,1248343.91268054
BOULDER,District 1,5154,2020,2020-09-07,28XX 28TH,2008540,STOLEN,248,No,RB-Report,BPD200907-068593,3067440.94236655,1253310.05686905
BOULDER,District 5,5155,2020,2020-09-07,5XX 27TH,2075678,STOLEN,220,No,Online Report - No Call Disposition,Online Report - No Call Number,3067093.52550124,1242269.56336948
BOULDER,District 3C,5156,2020,2020-09-07,7XX MARINE,2075679,STOLEN,400,No,Online Report - No Call Disposition,Online Report - No Call Number,3060181.11554115,1247307.28768616
BOULDER,District 3,5157,2020,2020-09-08,25XX CANYON BLVD,2075685,STOLEN,2500,Yes,Online Report - No Call Disposition,Online Report - No Call Number,3066911.61392403,1249247.37430052
BOULDER,District 3,5158,2020,2020-09-08,25XX CANYON BLVD,2075685,STOLEN,1666,No,Online Report - No Call Disposition,Online Report - No Call Number,3066911.61392403,1249247.37430052
BOULDER,District 2,5159,2020,2020-09-08,33XX 28TH,2075690,STOLEN,7200,Yes,Online Report - No Call Disposition,Online Report - No Call Number,3067893.04436056,1255840.58058589
BOULDER,District 1,5160,2020,2020-09-08,30XX 23RD,2075691,STOLEN,3565.38,Yes,Online Report - No Call Disposition,Online Report - No Call Number,3065365.11441273,1253992.91196712
BOULDER,District 3,5161,2020,2020-09-08,16XX 28TH,2075692,STOLEN,500,No,Online Report - No Call Disposition,Online Report - No Call Number,3067819.61147873,1249006.35548974
BOULDER,District 3M,5162,2020,2020-09-08,VALID ADDRESS UNAVAILABLE,2075694,STOLEN,1200,No,Online Report - No Call Disposition,Online Report - No Call Number
BOULDER,District 3,5163,2020,2020-09-09,26XX CANYON BLVD,2075718,STOLEN,1300,Yes,Online Report - No Call Disposition,Online Report - No Call Number,3067114.14871508,1249325.19604042
BOULDER,District 3,5164,2020,2020-09-09,26XX CANYON BLVD,2075718,STOLEN,700,No,Online Report - No Call Disposition,Online Report - No Call Number,3067114.14871508,1249325.19604042
BOULDER,District 2,5165,2020,2020-09-09,16XX 30TH,2075701,STOLEN,600,No,Online Report - No Call Disposition,Online Report - No Call Number,3069219.59514678,1248857.01638545
BOULDER,District 3,5166,2020,2020-09-10,19XX WALNUT,2075716,STOLEN,450,No,Online Report - No Call Disposition,Online Report - No Call Number,3064413.61457712,1249921.66202245
BOULDER,District 3,5167,2020,2020-09-10,25XX CANYON BLVD,2075728,STOLEN,4000,Yes,Online Report - No Call Disposition,Online Report - No Call Number,3066911.61392403,1249247.37430052
BOULDER,District 3,5168,2020,2020-09-10,25XX CANYON BLVD,2075728,STOLEN,4000,Yes,Online Report - No Call Disposition,Online Report - No Call Number,3066911.61392403,1249247.37430052
BOULDER,District 1,5169,2020,2020-09-10,35XX 28TH ST,2075729,STOLEN,100,No,Online Report - No Call Disposition,Online Report - No Call Number,3067609.73087355,1256830.24670795
BOULDER,District 4,5170,2020,2020-09-11,9XX 28TH,2075802,STOLEN,800,No,Online Report - No Call Disposition,Online Report - No Call Number,3067923.36454171,1244984.91340889
BOULDER,District 5,5171,2020,2020-09-11,47XX TANTRA DR,2075803,STOLEN,1800,No,Online Report - No Call Disposition,Online Report - No Call Number,3073450.87201828,1236708.30091671
BOULDER,District 4,5172,2020,2020-09-12,44XX COMANCHE,2075805,STOLEN,11000,Yes,Online Report - No Call Disposition,Online Report - No Call Number,3073508.36369889,1241954.91349752
BOULDER,District 2,5173,2020,2020-09-12,22XX JUNCTION PL,2075806,STOLEN,3300,No,Online Report - No Call Disposition,Online Report - No Call Number,3069448.70242643,1251829.75423523
BOULDER,District 2,5174,2020,2020-09-12,27XX 29TH,2075808,STOLEN,8000,Yes,Online Report - No Call Disposition,Online Report - No Call Number,3068149.11424877,1253080.91194397
BOULDER,District 2,5175,2020,2020-09-12,16XX 30TH,2075809,STOLEN,300,No,Online Report - No Call Disposition,Online Report - No Call Number,3069511.25371116,1248698.01801794
BOULDER,District 3,5176,2020,2020-09-12,25XX ARAPAHOE,2008739,STOLEN,1499,No,RB-Report,BPD200912-070131,3066609.47401007,1248945.3334426
BOULDER,District 1,5177,2020,2020-09-12,30XX BROADWAY,2075811,STOLEN,800,No,Online Report - No Call Disposition,Online Report - No Call Number,3060973.11379318,1253859.71320257
BOULDER,District 5,5178,2020,2020-09-12,VALID ADDRESS UNAVAILABLE,2075812,STOLEN,750,No,Online Report - No Call Disposition,Online Report - No Call Number
BOULDER,District 2,5179,2020,2020-09-12,16XX 28TH ST,2075735,STOLEN,675,No,Online Report - No Call Disposition,Online Report - No Call Number,3067707.75591329,1248289.41646869
BOULDER,District 3,5180,2020,2020-09-12,18XX ARAPAHOE,2075733,STOLEN,270,Yes,Online Report - No Call Disposition,Online Report - No Call Number,3064157.86501247,1248152.28769074
BOULDER,District 4,5181,2020,2020-09-13,45XX LAGUNA,2075731,STOLEN,1000,No,Online Report - No Call Disposition,Online Report - No Call Number,3073564.61357808,1242392.28835989
BOULDER,District 4,5182,2020,2020-09-13,29XX AURORA,2075753,STOLEN,200,No,Online Report - No Call Disposition,Online Report - No Call Number,3068788.6144106,1244503.66336849
BOULDER,District 1,5183,2020,2020-09-13,20XX GRAPE,2008759,STOLEN,750,No,CB-Clear,BPD200913-070337,3064527.86454335,1255325.28687518
BOULDER,District 1,5184,2020,2020-09-13,20XX GRAPE,2008759,STOLEN,500,No,CB-Clear,BPD200913-070337,3064527.86454335,1255325.28687518
BOULDER,District 2,5185,2020,2020-09-13,28XX KALMIA,2075752,RECOVERED,1300,Yes,Online Report - No Call Disposition,Online Report - No Call Number,3068100.86426968,1257065.16126361
BOULDER,District 5,5186,2020,2020-09-13,6XX BROADWAY,2075755,STOLEN,4000,Yes,Online Report - No Call Disposition,Online Report - No Call Number,3066157.80318351,1242971.11685487
BOULDER,District 4,5187,2020,2020-09-13,51XX MERRITT,2075757,STOLEN,650,No,Online Report - No Call Disposition,Online Report - No Call Number,3075196.5064689,1247583.11471717
BOULDER,District 1,5188,2020,2020-09-13,24XX 9TH,2075759,STOLEN,1500,No,Online Report - No Call Disposition,Online Report - No Call Number,3060234.70627208,1251000.44823928
BOULDER,District 4,5189,2020,2020-09-13,44XX LAGUNA,2008767,STOLEN,1000,No,RB-Report,BPD200913-070393,3073202.15631877,1242832.97630111
BOULDER,District 3,5190,2020,2020-09-13,25XX ARAPAHOE,2075763,STOLEN,3000,No,Online Report - No Call Disposition,Online Report - No Call Number,3066609.47401007,1248945.3334426
